37	16	14	14	10	9	8	8	7	6	4	3	4	5	2	3	6	4	0	5	5	3	0	4	2	0	0	0	0	3	4	3	0	0	0	5	0	4	0	0	0	
42	6	13	4	7	27	3	4	6	13	8	7	6	6	6	1	2	3	3	3	3	2	0	3	0	0	0	3	0	1	0	3	0	0	0	0	0	2	0	0	0	
42	6	16	5	10	17	4	10	4	10	5	7	2	7	3	8	6	5	5	6	4	0	2	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
40	11	20	11	8	16	2	8	8	2	4	9	0	6	3	0	4	1	5	2	4	0	1	2	2	2	1	0	0	2	2	1	0	0	0	0	0	2	0	3	0	
38	5	17	2	4	13	3	1	4	3	6	8	7	6	4	2	4	7	3	4	2	4	1	4	0	2	0	3	0	0	2	0	0	0	0	0	3	0	0	1	0	
37	6	18	3	3	24	9	10	6	0	3	3	10	4	3	4	0	7	9	7	1	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	0	4	0	0	0	
40	8	11	3	6	14	9	3	7	4	4	9	5	2	3	4	1	7	1	4	3	5	1	3	0	1	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	
65	8	14	8	10	17	9	7	8	0	9	8	2	8	2	5	2	5	8	5	8	3	2	2	2	2	0	0	0	4	3	0	0	0	0	0	0	2	0	3	0	
30	3	14	8	12	18	5	2	10	0	3	14	4	8	4	4	2	4	12	0	2	1	3	3	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	1	0	
41	8	13	5	8	18	5	8	11	5	5	6	4	4	2	2	0	5	13	4	4	2	2	3	2	2	2	1	0	2	4	3	0	0	0	0	0	2	0	0	0	
22	2	14	5	10	11	6	7	13	4	6	5	5	6	2	0	4	2	2	2	0	0	2	4	2	2	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	
26	7	13	3	20	26	2	2	19	9	3	2	2	8	7	3	5	0	10	0	0	2	0	2	0	0	2	0	2	0	2	0	2	0	0	0	0	1	0	0	0	
25	5	10	3	5	15	3	6	4	3	3	8	4	9	4	2	2	7	9	2	0	2	0	1	0	3	2	0	2	3	1	2	2	0	0	0	1	0	0	0	0	
51	4	14	7	7	22	2	7	9	2	9	2	2	2	4	0	4	5	7	6	2	4	0	0	0	4	2	2	3	0	2	4	0	0	0	0	0	2	0	1	0	
38	11	11	8	8	18	5	11	5	9	3	9	4	5	4	8	5	8	2	2	5	3	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	
33	5	18	6	4	20	4	3	6	7	4	5	5	6	3	4	4	5	6	9	6	3	2	1	2	0	2	2	2	2	0	3	0	0	0	0	5	3	0	0	0	
38	7	14	6	10	20	10	5	9	5	7	9	5	6	1	7	2	6	6	5	4	7	3	0	3	0	2	2	2	3	0	1	0	0	0	0	0	2	0	0	0	
40	6	6	7	0	6	4	7	12	3	4	4	9	4	0	4	4	3	0	0	0	0	7	6	0	0	0	3	0	0	4	0	0	0	0	0	3	3	0	1	0	
46	8	12	8	9	24	8	5	10	4	2	6	4	10	2	4	3	8	6	2	2	6	0	4	2	3	0	0	0	0	0	2	0	0	0	0	0	3	0	3	0	
57	5	17	3	3	17	6	2	17	8	5	8	0	10	0	6	5	3	2	2	3	3	2	2	17	5	2	3	0	3	3	2	2	0	0	0	2	2	0	2	0	
42	6	7	9	11	28	5	11	11	3	5	8	2	6	0	2	2	12	2	3	2	1	0	2	0	0	0	2	0	0	3	3	0	0	0	0	0	2	0	0	0	
41	8	7	7	7	16	6	5	8	5	5	7	2	6	2	4	3	10	8	2	3	5	1	3	0	3	0	0	0	0	3	2	0	0	0	0	1	1	0	3	0	
35	4	9	4	3	15	4	3	12	5	3	7	2	6	1	6	1	5	3	3	5	1	0	1	0	5	5	0	2	4	2	3	0	0	0	0	0	2	0	0	0	
50	5	22	7	9	18	6	3	5	9	5	10	0	3	6	2	6	5	5	5	2	2	0	3	5	0	0	2	0	0	2	0	0	0	0	0	3	3	0	0	0	
43	6	17	4	6	27	5	2	2	5	5	9	3	3	1	5	2	0	4	8	7	7	0	2	5	0	0	4	2	2	2	3	0	0	0	1	0	0	0	1	0	
51	7	13	3	4	14	5	7	4	6	6	12	2	3	0	7	5	4	5	6	7	2	0	0	0	2	1	2	0	2	2	0	0	2	0	0	2	2	0	2	0	
55	11	5	3	4	21	5	3	7	0	0	8	5	3	2	4	3	8	2	0	3	4	0	0	3	0	0	5	5	4	0	4	0	0	0	0	1	2	0	0	0	
42	3	5	3	6	18	4	3	2	4	1	8	3	1	2	5	1	9	0	2	2	5	0	0	3	3	0	2	0	0	0	2	0	0	0	0	1	2	0	0	1	
67	3	15	9	7	37	0	4	3	6	9	9	3	3	3	9	0	4	0	13	7	4	0	4	12	3	0	3	1	3	3	0	0	0	0	0	0	0	0	3	0	
62	7	10	7	5	22	5	3	19	2	6	5	3	6	0	2	9	11	3	2	0	5	0	2	2	2	0	2	2	0	3	0	1	0	0	0	0	0	0	2	0	
35	5	4	5	14	23	8	3	17	5	8	2	10	4	4	2	3	9	8	3	5	0	0	4	0	0	0	0	0	0	3	0	0	0	0	2	2	0	1	0	2	
39	9	12	5	6	20	4	6	10	3	12	5	5	5	4	1	4	8	4	2	2	1	0	2	0	2	0	1	0	2	4	0	0	0	0	0	1	0	0	1	0	
49	4	7	4	4	14	6	4	6	3	8	8	5	4	2	3	3	4	4	5	4	2	0	0	0	1	1	2	2	6	5	2	0	2	0	0	0	2	0	1	0	
50	0	17	7	3	15	5	5	9	5	6	9	2	2	0	6	3	5	0	6	11	2	0	2	5	0	0	2	0	5	0	7	0	0	0	0	0	2	0	3	0	
48	4	18	8	6	21	6	2	8	4	3	10	3	3	2	5	4	4	3	5	5	6	0	0	4	2	0	3	1	2	2	4	0	0	0	0	2	1	0	3	0	
42	4	9	8	6	13	6	0	9	8	4	7	2	4	4	4	4	0	2	3	2	3	0	2	3	2	2	0	0	2	2	3	4	0	0	0	0	2	0	3	2	
37	4	4	4	4	39	2	7	12	14	8	11	0	4	5	0	2	0	5	7	5	4	5	0	0	0	0	2	0	0	1	2	0	4	0	0	0	4	0	0	0	
38	4	12	3	4	23	2	7	2	7	6	5	2	6	0	2	4	2	2	5	4	3	2	0	2	0	0	0	0	2	4	3	0	0	0	0	0	0	0	0	0	
49	5	11	6	6	27	7	7	8	5	4	6	2	5	2	3	3	3	2	8	3	4	2	2	3	0	2	2	0	0	2	0	0	0	1	0	4	2	2	2	0	
27	8	8	12	9	20	7	6	4	2	4	4	2	4	2	7	6	0	13	2	7	4	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	
39	9	19	0	7	18	5	0	9	5	7	10	0	3	1	2	0	4	5	8	2	1	4	4	0	0	0	2	1	3	0	2	0	2	0	0	0	2	0	0	0	
52	5	11	5	18	26	6	3	12	7	5	6	5	2	3	8	3	1	3	6	2	4	0	3	3	2	0	0	0	2	3	0	2	0	0	2	0	2	0	3	0	
32	7	12	4	11	24	8	5	9	7	9	9	4	7	0	9	4	2	9	7	2	7	0	8	2	2	0	2	0	0	0	0	0	2	0	0	2	4	2	7	0	
48	4	17	2	14	25	8	4	10	6	1	11	5	2	3	7	5	0	4	4	5	3	2	2	1	2	0	0	0	0	2	2	0	2	0	0	0	0	0	1	0	
36	4	7	0	15	19	1	5	7	2	7	7	2	0	5	6	6	7	4	2	4	3	3	1	2	0	0	1	0	0	4	2	0	0	0	0	2	2	0	0	0	
32	8	9	4	12	16	6	2	9	1	3	4	3	3	2	2	4	6	6	4	0	8	1	2	0	0	0	1	0	2	2	2	0	0	0	0	1	4	1	0	0	
35	4	3	4	11	14	5	3	11	3	9	10	4	0	3	3	5	5	14	0	3	2	0	8	0	2	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	
61	6	15	3	13	19	3	2	7	5	4	3	1	1	0	15	1	0	7	1	2	5	5	0	3	0	0	0	1	1	7	3	0	6	0	0	0	0	0	0	0	
31	6	5	4	3	15	1	1	7	2	8	6	2	0	0	1	0	0	0	2	1	6	0	2	0	0	0	2	1	0	3	1	0	0	3	0	2	2	0	2	1	
36	7	2	3	15	11	2	3	5	3	10	5	4	4	3	3	3	7	7	4	3	4	3	2	0	0	0	0	0	2	0	0	0	0	0	6	6	0	0	2	0	
35	3	6	3	6	23	1	9	12	4	7	8	4	4	1	4	3	4	6	2	3	1	0	4	0	0	3	0	0	0	0	0	0	0	1	0	2	4	1	3	0	
38	7	6	8	8	18	4	7	11	2	5	8	2	1	1	4	3	5	1	4	5	1	0	3	3	0	0	1	1	1	3	1	0	0	0	1	4	2	0	1	0	
60	11	35	11	13	42	11	0	13	6	0	4	0	6	0	4	0	4	2	6	8	4	6	2	6	0	0	0	0	4	4	6	0	2	0	0	0	6	0	0	2	
42	3	7	5	7	25	6	2	16	5	7	5	7	3	0	5	0	3	0	3	2	0	0	6	4	0	0	1	0	0	7	4	0	0	0	1	0	0	0	0	0	
23	7	4	0	2	15	4	4	13	0	4	13	9	7	4	0	7	0	7	2	0	4	1	2	0	0	0	0	0	0	4	0	1	0	0	0	2	3	0	4	0	
25	3	3	0	7	10	0	1	16	1	10	9	7	7	7	7	9	10	0	0	7	3	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	3	0	1	0	
26	7	5	3	6	16	3	0	10	3	3	8	2	6	2	0	2	3	5	0	5	3	0	0	0	2	3	0	0	0	4	0	0	0	0	0	2	0	0	2	1	
46	1	3	5	14	21	3	0	19	3	7	7	3	5	0	5	0	3	17	5	3	0	7	3	0	0	0	0	0	0	3	0	0	0	0	0	3	12	5	0	3	
33	7	16	6	8	15	0	3	10	13	3	8	2	2	1	0	3	5	6	3	4	2	0	0	4	2	0	0	2	0	2	5	0	0	0	0	2	2	2	0	0	
33	12	10	10	8	37	2	3	11	0	10	11	6	5	0	12	3	6	6	5	0	3	0	10	0	0	0	0	0	3	12	0	0	0	2	2	0	6	0	3	0	
36	1	11	3	6	22	0	1	10	7	4	7	0	7	2	10	0	16	1	3	4	0	3	2	2	0	0	1	0	2	1	0	2	0	0	0	0	2	0	0	0	
40	0	4	5	9	31	4	4	13	4	5	6	0	6	6	4	0	5	12	6	2	4	5	5	0	4	0	2	2	0	6	4	0	0	0	0	2	2	0	8	2	
29	2	2	10	14	20	1	4	10	0	7	11	2	1	2	0	0	4	7	2	0	2	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	4	0	0	0	
